YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"WEEK ENDING","PROGRESS in PCT PLANTED","PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED","PROGRESS in PCT EMERGED","PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED","PROGRESS in PCT SILKING","PROGRESS, 5 YEAR AVG in PCT SILKING","PROGRESS, PREVIOUS YEAR in PCT SILKING","PROGRESS in PCT DOUGH","PROGRESS, 5 YEAR AVG in PCT DOUGH","PROGRESS, PREVIOUS YEAR in PCT DOUGH","PROGRESS in PCT DENTED","PROGRESS, 5 YEAR AVG in PCT DENTED","PROGRESS, PREVIOUS YEAR in PCT DENTED","PROGRESS in PCT MATURE","PROGRESS, 5 YEAR AVG in PCT MATURE","PROGRESS, PREVIOUS YEAR in PCT MATURE","PROGRESS in PCT HARVESTED","PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
1982,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1982-07-11," "," "," "," "," "," ",14," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1982-07-18," "," "," "," "," "," ",28," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1982-07-25," "," "," "," "," "," ",48," "," ",12," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1982-08-01," "," "," "," "," "," ",71," "," ",20," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1982-08-08," "," "," "," "," "," ",88," "," ",34," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1982-08-15," "," "," "," "," "," ",95," "," ",48," "," "," "," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1982-08-22," "," "," "," "," "," "," "," "," ",66," "," ",29," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1982-08-29," "," "," "," "," "," "," "," "," ",78," "," ",43," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1982-09-05," "," "," "," "," "," "," "," "," ",87," "," ",59," "," "," "," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1982-09-12," "," "," "," "," "," "," "," "," ",94," "," ",75," "," ",32," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1982-09-19," "," "," "," "," "," "," "," "," "," "," "," ",84," "," ",48," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1982-09-26," "," "," "," "," "," "," "," "," "," "," "," ",94," "," ",65," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1982-10-03," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",79," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1982-10-10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",90," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1982-10-17," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",95," "," "," "," "," "
1982,"US TOTAL","  ","  ","   ","WEEK #42",CORN,1982-10-24," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",99," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1983-04-24,2,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1983-05-01,9,18," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1983-05-08,19,39," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1983-05-15,45,58," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1983-05-22,63,75," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1983-05-29,80,86," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1983-06-05,90,94," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1983-06-12,96,98," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #24",CORN,1983-06-19,99,99," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1983-07-10," "," "," "," "," "," ",4,9," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1983-07-17," "," "," "," "," "," ",10,27," "," "," "," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1983-07-24," "," "," "," "," "," ",31,50," ",4,8," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1983-07-31," "," "," "," "," "," ",62,73," ",9,16," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1983-08-07," "," "," "," "," "," ",85,87," ",19,30," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1983-08-14," "," "," "," "," "," ",95,96," ",37,48," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1983-08-21," "," "," "," "," "," ",99,99," ",65,65," "," "," "," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1983-08-28," "," "," "," "," "," "," "," "," ",82,81," ",39,42," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1983-09-04," "," "," "," "," "," "," "," "," ",94,90," ",64,59," "," "," "," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1983-09-11," "," "," "," "," "," "," "," "," ",98,97," ",85,77," ",35,32," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1983-09-18," "," "," "," "," "," "," "," "," "," "," "," ",94,89," ",62,51," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1983-09-25," "," "," "," "," "," "," "," "," "," "," "," ",99,96," ",84,71," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1983-10-02," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",94,85," "," "," "," "
1983,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1983-10-09," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",99,94," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1984-04-22,2,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1984-04-29,5,13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1984-05-06,10,31," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1984-05-13,29,54," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1984-05-20,65,71," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1984-05-27,81,83," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1984-06-03,90,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1984-06-10,97,96," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1984-07-01," "," "," "," "," "," ",2,3," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1984-07-08," "," "," "," "," "," ",4,7," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1984-07-15," "," "," "," "," "," ",9,18," "," "," "," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1984-07-22," "," "," "," "," "," ",28,39," ",4,6," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1984-07-29," "," "," "," "," "," ",60,64," ",8,13," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1984-08-05," "," "," "," "," "," ",83,83," ",19,25," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1984-08-12," "," "," "," "," "," ",93,94," ",34,42," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1984-08-19," "," "," "," "," "," ",98,99," ",61,61," "," "," "," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1984-08-26," "," "," "," "," "," "," "," "," ",76,76," ",31,37," "," "," "," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1984-09-02," "," "," "," "," "," "," "," "," ",90,88," ",55,54," ",10,13," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1984-09-09," "," "," "," "," "," "," "," "," ",96,96," ",78,72," ",22,27," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1984-09-16," "," "," "," "," "," "," "," "," "," "," "," ",90,86," ",42,46," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1984-09-23," "," "," "," "," "," "," "," "," "," "," "," ",97,95," ",66,67," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1984-09-30," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",87,83," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1984-10-07," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",94,92," "," "," "," "
1984,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1984-10-14," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",97,97," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1985-04-14,5,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1985-04-21,9,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1985-04-28,22,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1985-05-05,46,28," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1985-05-12,78,51," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1985-05-19,90,70," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1985-05-26,96,82," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1985-06-02,98,90," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #23",CORN,1985-06-09,100,95," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1985-06-30," "," "," "," "," "," ",4,3," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1985-07-07," "," "," "," "," "," ",11,5," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1985-07-14," "," "," "," "," "," ",28,16," "," "," "," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1985-07-21," "," "," "," "," "," ",53,36," ",8,5," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1985-07-28," "," "," "," "," "," ",77,62," ",16,10," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1985-08-04," "," "," "," "," "," ",90,82," ",30,22," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1985-08-11," "," "," "," "," "," ",96,93," ",49,38," "," "," "," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1985-08-18," "," "," "," "," "," "," "," "," ",67,59," ",26,20," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1985-08-25," "," "," "," "," "," "," "," "," ",82,75," ",41,34," "," "," "," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1985-09-01," "," "," "," "," "," "," "," "," ",91,88," ",56,53," ",10,11," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1985-09-08," "," "," "," "," "," "," "," "," ",96,95," ",73,73," ",21,24," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1985-09-15," "," "," "," "," "," "," "," "," "," "," "," ",87,86," ",39,43," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1985-09-22," "," "," "," "," "," "," "," "," "," "," "," ",95,95," ",63,65," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1985-09-29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",83,82," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1985-10-06," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",92,93," "," "," "," "
1985,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1985-10-13," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,97," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #15",CORN,1986-04-13,5,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1986-04-20,9,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1986-04-27,16,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1986-05-04,35,25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1986-05-11,64,49," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1986-05-18,77,69," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1986-05-25,88,81," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #22",CORN,1986-06-01,94,89," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #26",CORN,1986-06-29," "," "," "," "," "," ",5,2," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #27",CORN,1986-07-06," "," "," "," "," "," ",13,5," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #28",CORN,1986-07-13," "," "," "," "," "," ",30,14," "," "," "," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #29",CORN,1986-07-20," "," "," "," "," "," ",54,33," ",9,5," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #30",CORN,1986-07-27," "," "," "," "," "," ",77,58," ",20,10," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #31",CORN,1986-08-03," "," "," "," "," "," ",92,80," ",33,20," "," "," "," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #32",CORN,1986-08-10," "," "," "," "," "," ",97,93," ",53,38," ",19,9," "," "," "," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #33",CORN,1986-08-17," "," "," "," "," "," "," "," "," ",68,56," ",30,18," ",5,3," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #34",CORN,1986-08-24," "," "," "," "," "," "," "," "," ",84,74," ",47,31," ",9,4," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #35",CORN,1986-08-31," "," "," "," "," "," "," "," "," ",93,86," ",66,50," ",19,9," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #36",CORN,1986-09-07," "," "," "," "," "," "," "," "," ",97,94," ",81,69," ",33,19," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #37",CORN,1986-09-14," "," "," "," "," "," "," "," "," "," "," "," ",91,85," ",53,38," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #38",CORN,1986-09-21," "," "," "," "," "," "," "," "," "," "," "," ",96,93," ",70,60," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #39",CORN,1986-09-28," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",81,79," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #40",CORN,1986-10-05," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",91,91," "," "," "," "
1986,"US TOTAL","  ","  ","   ","WEEK #41",CORN,1986-10-12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",96,96," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #16",CORN,1987-04-19,5,5," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #17",CORN,1987-04-26,13,11," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #18",CORN,1987-05-03,48,25," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #19",CORN,1987-05-10,76,47," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #20",CORN,1987-05-17,93,67," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #21",CORN,1987-05-24,97,80," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
1987,"US TOTAL","  ","  ","   ","WEEK #25",CORN,1987-06-21," "," "," "," "," "," ",2,3," "," "," "," "," "," "," "," "," "," "," "," "," "
